iter	Passed	Remaining
399	30050	45075
400	30109	44976
401	30166	44874
402	30229	44781
403	30316	44724
404	30376	44627
405	30437	44531
406	30495	44432
407	30552	44331
408	30605	44224
409	30657	44117
410	30722	44028
411	30779	43928
412	30844	43839
413	30903	43742
414	30964	43648
415	31030	43561
416	31085	43460
417	31142	43360
418	31198	43260
419	31256	43164
420	31313	43065
421	31408	43019
422	31460	42913
423	31516	42814
424	31550	42686
425	31609	42591
426	31668	42496
427	31727	42402
428	31781	42301
429	31841	42208
430	31895	42108
431	31947	42005
432	31967	41859
433	32024	41764
434	32082	41669
435	32135	41569
436	32208	41495
437	32292	41434
438	32393	41395
439	32525	41395
440	32636	41369
441	32707	41291
442	32763	41195
443	32826	41106
444	32883	41012
445	32946	40924
446	33000	40825
447	33061	40736
448	33114	40637
449	33171	40542
450	33229	40450
451	33290	40360
452	33341	40260
453	33402	40171
454	33459	40077
455	33564	40041
456	33729	40076
457	33805	40005
458	33884	39938
459	33975	39883
460	34040	39800
461	34095	39703
462	34153	39612
463	34207	39515
464	34262	39420
465	34318	39326
466	34381	39240
467	34435	39144
468	34484	39043
469	34539	38949
470	34593	38853
471	34655	38766
472	34746	38713
473	34805	38624
474	34858	38528
475	34914	38434
476	34968	38340
477	35022	38245
478	35074	38150
479	35131	38059
480	35186	37966
481	35241	37873
482	35296	37780
483	35360	37698
484	35420	37611
485	35484	37529
486	35541	37438
487	35596	37347
488	35652	37256
489	35705	37163
490	35802	37114
491	35856	37023
492	35907	36927
493	35960	36834
494	36013	36740
495	36070	36652
496	36125	36561
497	36178	36469
498	36233	36378
499	36294	36294
500	36349	36204
501	36408	36118
502	36464	36029
503	36517	35937
504	36571	35847
505	36626	35758
506	36679	35667
507	36734	35577
508	36791	35490
509	36882	35435
510	36939	35349
511	36996	35262
512	37058	35180
513	37123	35100
514	37184	35018
515	37247	34937
516	37303	34850
517	37362	34765
518	37422	34682
519	37486	34603
520	37545	34518
521	37604	34434
522	37662	34349
523	37718	34263
524	37782	34184
525	37835	34095
526	37889	34006
527	37997	33967
528	38083	33907
529	38163	33842
530	38222	33759
531	38284	33679
532	38350	33601
533	38401	33511
534	38455	33423
535	38514	33340
536	38573	33257
537	38631	33174
538	38697	33097
539	38755	33013
540	38810	32927
541	38845	32825
542	38903	32742
543	38989	32682
544	39112	32653
545	39202	32596
546	39274	32524
547	39341	32449
548	39415	32379
549	39484	32305
550	39548	32227
551	39621	32156
552	39698	32088
553	39772	32018
554	39843	31946
555	39916	31875
556	39998	31812
557	40071	31741
558	40201	31715
559	40276	31645
560	40347	31573
561	40430	31509
562	40515	31447
563	40580	31370
564	40648	31295
565	40725	31227
566	40794	31153
567	40871	31085
568	40955	31022
569	41023	30947
570	41088	30870
571	41159	30797
572	41225	30721
573	41315	30662
574	41393	30595
575	41464	30522
576	41533	30448
577	41597	30370
578	41658	30290
579	41721	30212
580	41788	30136
581	41854	30060
582	41925	29988
583	42003	29920
584	42087	29857
585	42160	29785
586	42233	29714
587	42318	29651
588	42441	29615
589	42498	29532
590	42569	29460
591	42638	29386
592	42699	29306
593	42766	29230
594	42823	29149
595	42883	29068
596	42946	28990
597	43017	28917
598	43090	28847
599	43163	28775
600	43232	28702
601	43262	28602
602	43328	28526
603	43388	28446
604	43453	28370
605	43574	28330
606	43634	28251
607	43718	28187
608	43806	28125
609	43870	28048
610	43938	27974
611	44031	27915
612	44142	27868
613	44239	27811
614	44308	27738
615	44366	27657
616	44428	27578
617	44492	27501
618	44558	27426
619	44661	27372
620	44730	27298
621	44823	27239
622	44903	27172
623	44977	27101
624	45035	27021
625	45095	26941
626	45156	26863
627	45230	26792
628	45309	26724
629	45385	26654
630	45444	26575
631	45502	26495
632	45568	26419
633	45632	26343
634	45751	26297
635	45817	26222
636	45903	26158
637	45983	26090
638	46053	26017
639	46123	25944
640	46212	25882
641	46293	25814
642	46399	25761
643	46512	25712
644	46603	25649
645	46695	25588
646	46795	25531
647	46934	25495
648	47029	25435
649	47104	25364
650	47181	25294
651	47256	25222
652	47341	25156
653	47418	25086
654	47488	25013
655	47581	24951
656	47655	24879
657	47730	24808
658	47808	24738
659	47853	24651
660	48059	24647
661	48131	24574
662	48214	24506
663	48285	24433
664	48371	24367
665	48443	24294
666	48520	24224
667	48599	24154
668	48677	24084
669	48768	24020
670	48854	23953
671	48935	23884
672	48962	23790
673	49044	23721
674	49156	23667
675	49291	23624
676	49377	23558
677	49452	23486
678	49539	23420
679	49620	23351
680	49699	23280
681	49778	23210
682	49855	23139
683	49940	23072
684	50026	23004
685	50109	22936
686	50192	22868
687	50311	22815
688	50412	22755
689	50497	22687
690	50577	22617
691	50657	22546
692	50743	22479
693	50823	22408
694	50901	22337
695	50978	22266
696	51072	22202
697	51150	22131
698	51234	22062
699	51318	21993
700	51469	21953
701	51559	21886
702	51647	21819
703	51727	21748
704	51813	21680
705	51894	21610
706	51962	21534
707	52045	21465
708	52119	21391
709	52220	21329
710	52299	21258
711	52391	21192
712	52478	21123
713	52619	21077
714	52712	21011
715	52794	20940
716	52872	20868
717	52954	20798
718	53036	20727
719	53114	20655
720	53206	20588
721	53324	20532
722	53411	20463
723	53505	20396
724	53581	20324
725	53668	20255
726	53814	20208
727	53899	20138
728	53981	20067
729	54056	19993
730	54136	19921
731	54213	19848
732	54291	19776
733	54362	19700
734	54447	19630
735	54523	19557
736	54614	19489
737	54685	19414
738	54778	19346
739	54912	19293
740	55021	19231
741	55101	19159
742	55180	19086
743	55262	19015
744	55353	18946
745	55431	18873
746	55510	18800
747	55582	18725
748	55668	18655
749	55748	18582
750	55836	18513
751	55911	18438
752	56018	18375
753	56140	18316
754	56218	18243
755	56288	18167
756	56358	18091
757	56452	18023
758	56535	17951
759	56615	17878
760	56699	17807
761	56783	17735
762	56874	17666
763	56958	17594
764	57050	17525
765	57186	17469
766	57263	17395
767	57347	17323
768	57430	17251
769	57476	17168
770	57546	17092
771	57631	17020
772	57710	16947
773	57790	16874
774	57858	16797
775	57918	16718
776	58011	16649
777	58096	16577
778	58186	16507
779	58218	16420
780	58392	16373
781	58470	16300
782	58552	16227
783	58641	16156
784	58768	16095
785	58863	16026
786	58967	15959
787	59086	15896
788	59245	15843
789	59369	15781
790	59524	15727
791	59779	15699
792	59892	15634
793	59979	15561
794	60078	15491
795	60186	15424
796	60272	15351
797	60366	15280
798	60468	15211
799	60597	15149
800	60764	15096
801	61009	15062
802	61115	14993
803	61201	14919
804	61289	14846
805	61427	14785
806	61538	14717
807	61684	14657
808	61818	14595
809	61916	14523
810	61991	14446
811	62138	14386
812	62280	14325
813	62383	14254
814	62488	14184
815	62664	14130
816	62840	14075
817	63030	14023
818	63228	13973
819	63487	13936
820	63601	13866
821	63710	13796
822	63823	13726
823	63920	13652
824	64017	13579
825	64098	13502
826	64137	13416
827	64223	13341
828	64346	13273
829	64518	13214
830	64702	13158
831	64771	13078
832	64881	13007
833	64989	12935
834	65089	12862
835	65186	12787
836	65268	12710
837	65366	12636
838	65459	12561
839	65561	12487
840	65649	12411
841	65855	12357
842	65924	12277
843	66002	12199
844	66084	12121
845	66170	12045
846	66205	11959
847	66291	11882
848	66366	11803
849	66458	11727
850	66540	11650
851	66625	11573
852	66725	11499
853	66805	11421
854	66901	11345
855	67061	11281
856	67119	11199
857	67196	11121
858	67265	11041
859	67348	10963
860	67410	10882
861	67488	10804
862	67566	10726
863	67645	10647
864	67716	10568
865	67798	10490
866	67871	10411
867	67955	10334
868	68061	10260
869	68269	10201
870	68370	10126
871	68457	10048
872	68551	9972
873	68576	9886
874	68652	9807
875	68740	9730
876	68835	9654
877	68916	9576
878	69003	9498
879	69079	9419
880	69168	9342
881	69249	9264
882	69392	9194
883	69474	9116
884	69558	9038
885	69643	8960
886	69750	8885
887	69859	8811
888	69978	8737
889	70085	8662
890	70193	8587
891	70295	8511
892	70400	8435
893	70573	8367
894	70661	8289
895	70688	8204
896	70761	8125
897	70828	8045
898	70887	7964
899	70964	7884
900	71024	7804
901	71098	7724
902	71182	7646
903	71265	7568
904	71340	7488
905	71420	7410
906	71492	7330
907	71566	7251
908	71676	7175
909	71790	7100
910	71868	7021
911	71930	6940
912	71996	6860
913	72057	6780
914	72116	6699
915	72180	6619
916	72239	6538
917	72301	6458
918	72359	6377
919	72415	6296
920	72472	6216
921	72533	6136
922	72621	6058
923	72688	5978
924	72761	5899
925	72900	5825
926	72970	5746
927	73039	5666
928	73101	5586
929	73153	5506
930	73217	5426
931	73278	5346
932	73343	5266
933	73397	5186
934	73462	5106
935	73520	5027
936	73577	4947
937	73638	4867
938	73696	4787
939	73758	4708
940	73817	4628
941	73947	4553
942	74043	4475
943	74103	4395
944	74162	4316
945	74244	4238
946	74334	4160
947	74483	4085
948	74651	4011
949	74740	3933
950	74815	3854
951	74890	3775
952	74959	3696
953	75121	3622
954	75197	3543
955	75259	3463
956	75328	3384
957	75400	3305
958	75475	3226
959	75536	3147
960	75606	3068
961	75669	2989
962	75739	2910
963	75804	2830
964	75864	2751
965	75959	2673
966	76025	2594
967	76095	2515
968	76193	2437
969	76304	2359
970	76374	2281
971	76439	2201
972	76515	2123
973	76574	2044
974	76638	1965
975	76711	1886
976	76775	1807
977	76843	1728
978	76905	1649
979	76973	1570
980	77037	1492
981	77099	1413
982	77160	1334
983	77220	1255
984	77335	1177
985	77449	1099
986	77510	1020
987	77585	942
988	77651	863
989	77719	785
990	77768	706
991	77824	627
992	77881	549
993	77930	470
994	77977	391
995	78035	313
996	78084	234
997	78132	156
998	78191	78
999	78239	0
