iter	AUC	CrossEntropy	Accuracy
54	0.7400268751	0.4825232302	0.7812705008
55	0.740199686	0.482408478	0.7814345069
56	0.7404206408	0.4822951312	0.7813798382
57	0.7405355925	0.4822110545	0.7813251695
58	0.7406563113	0.482108445	0.7816531817
59	0.7408557474	0.4819412783	0.7820905314
60	0.7411273831	0.4817200392	0.7821452001
61	0.7415210509	0.4814756063	0.7820358627
62	0.7416029332	0.4814029318	0.7818718565
63	0.7419940396	0.4811743894	0.7820905314
64	0.7422694603	0.4809943931	0.7823092062
65	0.742337361	0.480942313	0.7821998688
66	0.742554637	0.4808285873	0.7821998688
67	0.7429995648	0.4805976908	0.7820358627
68	0.7433901166	0.4802723719	0.7823092062
69	0.7434218319	0.4801891704	0.7825825497
70	0.7435685967	0.4800741024	0.782527881
71	0.7436621193	0.4800144627	0.7826372185
72	0.7438162828	0.4799080556	0.7826918872
73	0.7440299532	0.4796904451	0.7828558933
74	0.7443665612	0.4794980572	0.7826918872
75	0.7444782581	0.4794190069	0.7826372185
76	0.7447163024	0.4792585803	0.7826372185
77	0.7448003137	0.4791934838	0.7825825497
78	0.7452037539	0.4787885366	0.7826918872
79	0.7455474994	0.4785072034	0.7828558933
80	0.7458733725	0.4783478258	0.7830198994
81	0.7463531807	0.4781003217	0.7829652307
82	0.746518593	0.4779569109	0.782910562
83	0.7468186403	0.4776901911	0.7829652307
84	0.7469039975	0.4776043922	0.7831839055
85	0.7471211103	0.477490033	0.7830198994
86	0.7472030252	0.477444305	0.7832385742
87	0.747415676	0.4771682623	0.7834572491
88	0.7474927047	0.4770833756	0.7832932429
89	0.7477220288	0.4769228954	0.7834025804
90	0.7479805477	0.4767719872	0.7832385742
91	0.7486191444	0.4763898271	0.7835665865
92	0.7486917682	0.4763277093	0.7835665865
93	0.7488024781	0.4762677593	0.7836212552
94	0.7489364035	0.4761906231	0.7836212552
95	0.7490736733	0.4760681694	0.7834572491
96	0.7492566726	0.4759708678	0.7836212552
97	0.7495156156	0.4758165576	0.7835119178
98	0.7495925954	0.4757663256	0.7835665865
99	0.7495931501	0.4757624331	0.7835665865
100	0.7496469715	0.4757189403	0.7837305926
101	0.7496799104	0.4756982453	0.7836212552
102	0.7499836529	0.4754840471	0.7839492674
103	0.7500385674	0.4754446917	0.7840039361
104	0.750456503	0.4751877048	0.7839492674
105	0.7508287988	0.4749511464	0.7839492674
106	0.7508910711	0.4749000909	0.7841132736
107	0.7509897899	0.4748201872	0.7840586049
108	0.751040381	0.4747879285	0.7840586049
109	0.7513735059	0.474582053	0.7839492674
110	0.7517202044	0.4743666879	0.7841132736
111	0.7517196497	0.4743643322	0.7840039361
112	0.751942391	0.4742381292	0.7841679423
113	0.7521412642	0.4740908706	0.7839492674
114	0.7523155678	0.4739993499	0.7841679423
115	0.7523392891	0.4739873305	0.784222611
116	0.7527838091	0.4737300944	0.7842772797
117	0.7530559994	0.4735729439	0.7844412858
118	0.7530986454	0.4735193215	0.7843866171
119	0.7534154232	0.4732912416	0.7842772797
120	0.7536854927	0.4731116902	0.7843866171
121	0.7540837286	0.472833474	0.7849879729
122	0.7540899444	0.4728301494	0.7849333042
123	0.7542835481	0.4726421318	0.7852613164
124	0.7543921534	0.4725707082	0.7853706538
125	0.7545537318	0.4724865708	0.7853706538
126	0.7545573209	0.4724851476	0.7854253225
127	0.7546432002	0.4724388958	0.7853159851
128	0.7549011481	0.4722890167	0.7854799913
129	0.7549609569	0.4722561214	0.78553466
130	0.7549741227	0.4722499922	0.7855893287
131	0.7550054627	0.4722258534	0.7855893287
132	0.7553835829	0.4719386254	0.7863546906
133	0.7554038454	0.4719277476	0.7863000219
134	0.7557877572	0.4716826362	0.7861906845
135	0.7560653803	0.4715106426	0.7863000219
136	0.7562659013	0.4714050675	0.7865186967
137	0.7563157909	0.4713652733	0.7864093593
138	0.7563432808	0.4713524386	0.7863546906
139	0.7563445859	0.4713490685	0.7864093593
140	0.7563436397	0.4713470211	0.7863000219
141	0.756496294	0.471267056	0.7865186967
142	0.7565938219	0.4711618531	0.786464028
143	0.7567238481	0.471097026	0.7864093593
144	0.7568523407	0.4710302724	0.786464028
145	0.7569255926	0.4709825129	0.7865733654
146	0.7570998963	0.470878644	0.7863546906
